GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-gateway,com.fitlife.gateway,ApiGatewayApplication,5,3,0,0,2,1,1,1,1,1
api-gateway,com.fitlife.gateway.filter,LoggingGlobalFilter,73,9,4,0,11,3,4,3,2,3
